sample,year,input,output
all,all,A,10
all,all,C,11
all,all,E,12
all,all,F,13
all,all,L,14
all,all,M,15
all,all,N,16
all,all,S,17
all,all,W,18
all,all,B,100
all,all,P,200
all,all,T,300
EG4,2005,G,20
EG4,2005,R,21
EG4,2005,K,22
EG4,2005,Z,25
EG4,2000,G,21
EG4,2003,G,21
EG4,2000,D,22
EG4,2003,D,22
ET6,all,O,17
ML6,all,R,17
NG6,all,K,17
RW6,all,D,17
SN6,all,a,17
EG6,all,G,20
EG5,all,G,20
EG3,all,G,21
EG5,all,R,21
BD3,all,H,21
EG2,all,G,21
EG6,all,H,21
EG5,all,K,22
MD5,all,K,22
BD3,all,a,23
NM6,all,K,24
BD4,all,H,26
ZA7,all,I,27
